Date,Channel,Leads,Conversions,Revenue ($)
2024-12-01,Google Ads,376,74,13394
2024-12-01,Meta Ads,853,90,6120
2024-12-01,Email,494,52,7280
2024-12-01,Influencer,763,141,12408
2024-12-01,LinkedIn Ads,175,21,3990
2024-12-02,Google Ads,803,96,10272
2024-12-02,Meta Ads,709,48,5280
2024-12-02,Email,944,139,6950
2024-12-02,Influencer,436,59,9558
2024-12-02,LinkedIn Ads,458,82,13612
2024-12-03,Google Ads,183,31,3410
2024-12-03,Meta Ads,864,158,26386
2024-12-03,Email,262,52,10192
2024-12-03,Influencer,581,35,3360
2024-12-03,LinkedIn Ads,282,23,4416
2024-12-04,Google Ads,464,92,9476
2024-12-04,Meta Ads,935,100,6100
2024-12-04,Email,379,72,10872
2024-12-04,Influencer,457,65,3705
2024-12-04,LinkedIn Ads,171,13,1807
2024-12-05,Google Ads,697,71,5467
2024-12-05,Meta Ads,781,81,15714
2024-12-05,Email,250,24,4560
2024-12-05,Influencer,607,37,6771
2024-12-05,LinkedIn Ads,643,72,6912
2024-12-06,Google Ads,970,109,11445
2024-12-06,Meta Ads,847,152,24016
2024-12-06,Email,54,2,164
2024-12-06,Influencer,423,72,4320
2024-12-06,LinkedIn Ads,902,146,19710
2024-12-07,Google Ads,876,154,22638
2024-12-07,Meta Ads,154,17,3026
2024-12-07,Email,454,26,1430
2024-12-07,Influencer,525,90,12960
2024-12-07,LinkedIn Ads,694,138,9936
2024-12-08,Google Ads,614,117,15444
2024-12-08,Meta Ads,194,16,2544
2024-12-08,Email,50,9,477
2024-12-08,Influencer,495,89,7209
2024-12-08,LinkedIn Ads,83,8,968
2024-12-09,Google Ads,600,90,15030
2024-12-09,Meta Ads,820,104,6344
2024-12-09,Email,103,20,2120
2024-12-09,Influencer,450,31,2976
2024-12-09,LinkedIn Ads,968,158,21172
2024-12-10,Google Ads,959,149,22648
2024-12-10,Meta Ads,471,67,5829
2024-12-10,Email,355,49,3871
2024-12-10,Influencer,384,44,4444
2024-12-10,LinkedIn Ads,298,37,4736
2024-12-11,Google Ads,591,84,8400
2024-12-11,Meta Ads,130,25,4525
2024-12-11,Email,187,35,4305
2024-12-11,Influencer,834,74,8732
2024-12-11,LinkedIn Ads,595,85,14875
2024-12-12,Google Ads,796,109,17876
2024-12-12,Meta Ads,160,11,1419
2024-12-12,Email,144,15,2895
2024-12-12,Influencer,569,43,7783
2024-12-12,LinkedIn Ads,745,83,12035
2024-12-13,Google Ads,244,31,3410
2024-12-13,Meta Ads,683,57,3990
2024-12-13,Email,54,5,550
2024-12-13,Influencer,583,36,1800
2024-12-13,LinkedIn Ads,694,82,11398
2024-12-14,Google Ads,95,9,1143
2024-12-14,Meta Ads,779,119,14518
2024-12-14,Email,843,143,24310
2024-12-14,Influencer,263,16,2288
2024-12-14,LinkedIn Ads,156,29,3190
2024-12-15,Google Ads,386,35,1750
2024-12-15,Meta Ads,57,9,864
2024-12-15,Email,688,129,8127
2024-12-15,Influencer,523,85,10795
2024-12-15,LinkedIn Ads,265,41,2583
2024-12-16,Google Ads,748,65,3640
2024-12-16,Meta Ads,52,9,1404
2024-12-16,Email,800,43,2881
2024-12-16,Influencer,555,57,9348
2024-12-16,LinkedIn Ads,64,4,672
2024-12-17,Google Ads,534,41,3608
2024-12-17,Meta Ads,322,26,4550
2024-12-17,Email,861,73,4526
2024-12-17,Influencer,261,31,5797
2024-12-17,LinkedIn Ads,116,17,3315
2024-12-18,Google Ads,160,22,1826
2024-12-18,Meta Ads,672,108,17496
2024-12-18,Email,797,55,8250
2024-12-18,Influencer,567,104,11752
2024-12-18,LinkedIn Ads,787,68,7344
2024-12-19,Google Ads,926,92,15640
2024-12-19,Meta Ads,338,17,1190
2024-12-19,Email,759,79,12719
2024-12-19,Influencer,565,100,11100
2024-12-19,LinkedIn Ads,399,30,3120
2024-12-20,Google Ads,186,11,880
2024-12-20,Meta Ads,89,13,715
2024-12-20,Email,371,50,6200
2024-12-20,Influencer,53,2,334
2024-12-20,LinkedIn Ads,930,114,12654
2024-12-21,Google Ads,490,77,14245
2024-12-21,Meta Ads,75,6,558
2024-12-21,Email,694,54,9018
2024-12-21,Influencer,885,100,6900
2024-12-21,LinkedIn Ads,162,20,1000
2024-12-22,Google Ads,139,22,1914
2024-12-22,Meta Ads,854,107,15943
2024-12-22,Email,894,116,21228
2024-12-22,Influencer,739,87,4698
2024-12-22,LinkedIn Ads,968,128,22912
2024-12-23,Google Ads,62,9,1197
2024-12-23,Meta Ads,370,26,3172
2024-12-23,Email,834,56,10752
2024-12-23,Influencer,969,136,19448
2024-12-23,LinkedIn Ads,144,27,2997
2024-12-24,Google Ads,285,31,5146
2024-12-24,Meta Ads,425,84,10500
2024-12-24,Email,596,112,12656
2024-12-24,Influencer,967,55,7810
2024-12-24,LinkedIn Ads,889,154,9702
2024-12-25,Google Ads,877,65,3510
2024-12-25,Meta Ads,900,134,14874
2024-12-25,Email,181,17,1547
2024-12-25,Influencer,138,21,2541
2024-12-25,LinkedIn Ads,344,54,4374
2024-12-26,Google Ads,740,106,15476
2024-12-26,Meta Ads,72,8,1552
2024-12-26,Email,274,29,2958
2024-12-26,Influencer,665,56,4928
2024-12-26,LinkedIn Ads,996,114,13224
2024-12-27,Google Ads,440,70,6370
2024-12-27,Meta Ads,497,37,5920
2024-12-27,Email,718,89,7743
2024-12-27,Influencer,490,47,3854
2024-12-27,LinkedIn Ads,303,24,2760
2024-12-28,Google Ads,571,70,8610
2024-12-28,Meta Ads,914,59,11210
2024-12-28,Email,208,22,3476
2024-12-28,Influencer,265,37,2368
2024-12-28,LinkedIn Ads,206,26,2496
2024-12-29,Google Ads,373,59,10561
2024-12-29,Meta Ads,460,67,5695
2024-12-29,Email,843,73,8614
2024-12-29,Influencer,709,54,6642
2024-12-29,LinkedIn Ads,921,126,9072
2024-12-30,Google Ads,864,80,12480
2024-12-30,Meta Ads,445,83,12699
2024-12-30,Email,259,36,5760
2024-12-30,Influencer,665,120,17880
2024-12-30,LinkedIn Ads,373,62,5332
2024-12-31,Google Ads,889,131,18471
2024-12-31,Meta Ads,848,119,11900
2024-12-31,Email,78,5,450
2024-12-31,Influencer,775,144,7200
2024-12-31,LinkedIn Ads,863,73,10147
2025-01-01,Google Ads,671,52,5512
2025-01-01,Meta Ads,50,9,936
2025-01-01,Email,420,58,11484
2025-01-01,Influencer,480,27,5022
2025-01-01,LinkedIn Ads,251,42,6972
2025-01-02,Google Ads,715,71,7952
2025-01-02,Meta Ads,293,38,4712
2025-01-02,Email,855,87,12180
2025-01-02,Influencer,578,79,12403
2025-01-02,LinkedIn Ads,812,57,4218
2025-01-03,Google Ads,229,25,3425
2025-01-03,Meta Ads,210,21,2352
2025-01-03,Email,711,59,9617
2025-01-03,Influencer,518,65,8450
2025-01-03,LinkedIn Ads,133,15,2955
2025-01-04,Google Ads,679,121,13552
2025-01-04,Meta Ads,750,58,6960
2025-01-04,Email,818,78,13416
2025-01-04,Influencer,772,79,6162
2025-01-04,LinkedIn Ads,354,19,1501
2025-01-05,Google Ads,193,26,1742
2025-01-05,Meta Ads,818,136,22032
2025-01-05,Email,163,20,2240
2025-01-05,Influencer,693,53,5512
2025-01-05,LinkedIn Ads,920,149,8791
2025-01-06,Google Ads,507,93,16089
2025-01-06,Meta Ads,136,26,2106
2025-01-06,Email,227,40,2280
2025-01-06,Influencer,882,117,13572
2025-01-06,LinkedIn Ads,492,61,7381
2025-01-07,Google Ads,103,10,1160
2025-01-07,Meta Ads,100,14,798
2025-01-07,Email,467,79,10823
2025-01-07,Influencer,127,17,1615
2025-01-07,LinkedIn Ads,540,104,19864
2025-01-08,Google Ads,784,77,4312
2025-01-08,Meta Ads,379,23,3082
2025-01-08,Email,196,13,2548
2025-01-08,Influencer,597,87,11397
2025-01-08,LinkedIn Ads,563,105,20685
2025-01-09,Google Ads,572,50,8950
2025-01-09,Meta Ads,756,104,19656
2025-01-09,Email,581,83,15438
2025-01-09,Influencer,275,49,7252
2025-01-09,LinkedIn Ads,549,107,16799
2025-01-10,Google Ads,329,22,3718
2025-01-10,Meta Ads,108,19,3363
2025-01-10,Email,785,89,14596
2025-01-10,Influencer,258,23,2047
2025-01-10,LinkedIn Ads,286,31,2201
2025-01-11,Google Ads,284,32,2496
2025-01-11,Meta Ads,158,24,2064
2025-01-11,Email,124,21,3717
2025-01-11,Influencer,902,155,13950
2025-01-11,LinkedIn Ads,983,59,10089
2025-01-12,Google Ads,637,51,7905
2025-01-12,Meta Ads,391,27,2862
2025-01-12,Email,336,60,8820
2025-01-12,Influencer,317,45,4590
2025-01-12,LinkedIn Ads,504,68,13192
2025-01-13,Google Ads,971,107,18297
2025-01-13,Meta Ads,607,34,3502
2025-01-13,Email,412,31,2635
2025-01-13,Influencer,420,36,7128
2025-01-13,LinkedIn Ads,828,77,12474
2025-01-14,Google Ads,236,22,2266
2025-01-14,Meta Ads,147,16,3184
2025-01-14,Email,118,14,1190
2025-01-14,Influencer,800,71,9230
2025-01-14,LinkedIn Ads,556,77,9394
2025-01-15,Google Ads,762,78,13884
2025-01-15,Meta Ads,266,41,6273
2025-01-15,Email,91,10,840
2025-01-15,Influencer,180,11,1727
2025-01-15,LinkedIn Ads,221,43,6493
2025-01-16,Google Ads,915,59,8850
2025-01-16,Meta Ads,93,15,1470
2025-01-16,Email,66,12,1248
2025-01-16,Influencer,546,42,4662
2025-01-16,LinkedIn Ads,641,115,6555
2025-01-17,Google Ads,710,116,19372
2025-01-17,Meta Ads,759,149,20562
2025-01-17,Email,317,26,4108
2025-01-17,Influencer,587,32,1888
2025-01-17,LinkedIn Ads,65,12,900
2025-01-18,Google Ads,135,25,1575
2025-01-18,Meta Ads,384,59,10974
2025-01-18,Email,932,175,18900
2025-01-18,Influencer,776,131,21615
2025-01-18,LinkedIn Ads,984,116,17632
2025-01-19,Google Ads,322,47,7379
2025-01-19,Meta Ads,237,28,5040
2025-01-19,Email,854,110,17270
2025-01-19,Influencer,88,8,424
2025-01-19,LinkedIn Ads,398,59,11210
2025-01-20,Google Ads,771,98,15386
2025-01-20,Meta Ads,943,106,8798
2025-01-20,Email,463,23,1426
2025-01-20,Influencer,190,20,2900
2025-01-20,LinkedIn Ads,788,47,4465
2025-01-21,Google Ads,78,12,1332
2025-01-21,Meta Ads,294,35,2275
2025-01-21,Email,489,44,7480
2025-01-21,Influencer,315,20,3040
2025-01-21,LinkedIn Ads,389,62,3224
2025-01-22,Google Ads,478,49,5733
2025-01-22,Meta Ads,195,16,1952
2025-01-22,Email,448,48,6576
2025-01-22,Influencer,189,36,3096
2025-01-22,LinkedIn Ads,110,9,1557
2025-01-23,Google Ads,759,149,16688
2025-01-23,Meta Ads,351,49,5439
2025-01-23,Email,894,177,17877
2025-01-23,Influencer,821,69,13593
2025-01-23,LinkedIn Ads,910,134,22244
2025-01-24,Google Ads,292,37,4551
2025-01-24,Meta Ads,156,11,572
2025-01-24,Email,937,96,5184
2025-01-24,Influencer,103,20,1160
2025-01-24,LinkedIn Ads,148,20,2200
2025-01-25,Google Ads,940,102,13362
2025-01-25,Meta Ads,111,22,1144
2025-01-25,Email,209,24,1488
2025-01-25,Influencer,169,27,3726
2025-01-25,LinkedIn Ads,378,69,10350
2025-01-26,Google Ads,659,78,9048
2025-01-26,Meta Ads,684,47,8742
2025-01-26,Email,244,47,5875
2025-01-26,Influencer,219,37,3293
2025-01-26,LinkedIn Ads,586,77,13321
2025-01-27,Google Ads,87,7,1274
2025-01-27,Meta Ads,225,27,2322
2025-01-27,Email,365,24,1848
2025-01-27,Influencer,642,38,3572
2025-01-27,LinkedIn Ads,273,34,5576
2025-01-28,Google Ads,747,101,8989
2025-01-28,Meta Ads,915,120,9840
2025-01-28,Email,311,39,5031
2025-01-28,Influencer,217,18,1944
2025-01-28,LinkedIn Ads,620,45,2790
2025-01-29,Google Ads,412,35,5215
2025-01-29,Meta Ads,240,37,2072
2025-01-29,Email,182,33,3531
2025-01-29,Influencer,810,44,3168
2025-01-29,LinkedIn Ads,475,32,4992
2025-01-30,Google Ads,486,78,10218
2025-01-30,Meta Ads,405,54,6804
2025-01-30,Email,573,29,1798
2025-01-30,Influencer,95,9,594
2025-01-30,LinkedIn Ads,409,36,4932
2025-01-31,Google Ads,414,69,8211
2025-01-31,Meta Ads,516,84,10332
2025-01-31,Email,282,54,6048
2025-01-31,Influencer,461,66,5676
2025-01-31,LinkedIn Ads,327,62,8990
